V2,V3,value
Glostrup,Aalborg,6
Halsnæs,Aalborg,6
Ishøj,Aalborg,6
Ærø,Aalborg,6
Langeland,Aalborg,3
Vallensbæk,Aalborg,3
Fanø,Aalborg,2
Samsø,Aalborg,2
Christiansø,Aalborg,0
Aarhus,Aarhus,125562
Skanderborg,Aarhus,10001
Favrskov,Aarhus,7793
Syddjurs,Aarhus,5754
Randers,Aarhus,5603
Silkeborg,Aarhus,3704
Horsens,Aarhus,3600
Odder,Aarhus,3028
Norddjurs,Aarhus,1703
Viborg,Aarhus,1422
Vejle,Aarhus,1296
Aalborg,Aarhus,1180
København,Aarhus,1099
Hedensted,Aarhus,809
Mariagerfjord,Aarhus,569
Herning,Aarhus,518
Odense,Aarhus,498
Kolding,Aarhus,476
Ikast-Brande,Aarhus,402
Fredericia,Aarhus,313
Rebild,Aarhus,291
Holstebro,Aarhus,230
Frederiksberg,Aarhus,220
Esbjerg,Aarhus,204
Skive,Aarhus,192
Gentofte,Aarhus,184
Middelfart,Aarhus,165
Vesthimmerlands,Aarhus,165
Haderslev,Aarhus,153
Hjørring,Aarhus,135
Ringkøbing-Skjern,Aarhus,114
Faaborg-Midtfyn,Aarhus,110
Vejen,Aarhus,110
Jammerbugt,Aarhus,97
Rudersdal,Aarhus,97
Assens,Aarhus,96
Frederikshavn,Aarhus,95
Brønderslev,Aarhus,94
Næstved,Aarhus,92
Svendborg,Aarhus,91
Roskilde,Aarhus,87
Aabenraa,Aarhus,85
Sønderborg,Aarhus,80
Gladsaxe,Aarhus,78
Lyngby-Taarbæk,Aarhus,77
Billund,Aarhus,70
Struer,Aarhus,69
Slagelse,Aarhus,68
Thisted,Aarhus,66
Holbæk,Aarhus,64
Varde,Aarhus,64
Nyborg,Aarhus,63
Tønder,Aarhus,59
Nordfyns,Aarhus,56
Hørsholm,Aarhus,55
Køge,Aarhus,53
Egedal,Aarhus,50
Hvidovre,Aarhus,48
Lemvig,Aarhus,48
Greve,Aarhus,44
Furesø,Aarhus,43
Morsø,Aarhus,43
Helsingør,Aarhus,42
Ringsted,Aarhus,40
Kalundborg,Aarhus,39
Høje-Taastrup,Aarhus,38
Samsø,Aarhus,38
Sorø,Aarhus,36
Fredensborg,Aarhus,35
Guldborgsund,Aarhus,34
Lejre,Aarhus,34
Odsherred,Aarhus,33
Frederikssund,Aarhus,32
Gribskov,Aarhus,32
Tårnby,Aarhus,32
Vordingborg,Aarhus,32
Ballerup,Aarhus,30
Hillerød,Aarhus,30
Langeland,Aarhus,30
Faxe,Aarhus,29
Rødovre,Aarhus,28
Solrød,Aarhus,28
Kerteminde,Aarhus,25
Brøndby,Aarhus,23
Lolland,Aarhus,23
Allerød,Aarhus,20
Stevns,Aarhus,20
Albertslund,Aarhus,19
Halsnæs,Aarhus,19
Glostrup,Aarhus,18
Herlev,Aarhus,15
Vallensbæk,Aarhus,15
Dragør,Aarhus,13
Ishøj,Aarhus,13
Bornholm,Aarhus,9
Fanø,Aarhus,5
Ærø,Aarhus,4
Læsø,Aarhus,2
Christiansø,Aarhus,0
Albertslund,Albertslund,3358
København,Albertslund,2842
Høje-Taastrup,Albertslund,1023
Roskilde,Albertslund,671
Brøndby,Albertslund,617
Glostrup,Albertslund,617
Greve,Albertslund,533
Hvidovre,Albertslund,532
Rødovre,Albertslund,464
Frederiksberg,Albertslund,454
Ballerup,Albertslund,449
Vallensbæk,Albertslund,449
Køge,Albertslund,442
Gladsaxe,Albertslund,422
Egedal,Albertslund,409
Holbæk,Albertslund,331
Ishøj,Albertslund,323
Næstved,Albertslund,284
Gentofte,Albertslund,247
Herlev,Albertslund,243
Solrød,Albertslund,233
Frederikssund,Albertslund,226
Tårnby,Albertslund,225
Lejre,Albertslund,214
Furesø,Albertslund,195
Lyngby-Taarbæk,Albertslund,194
Faxe,Albertslund,186
Rudersdal,Albertslund,182
Slagelse,Albertslund,162
Hillerød,Albertslund,161
Ringsted,Albertslund,148
Helsingør,Albertslund,145
Fredensborg,Albertslund,140
Sorø,Albertslund,126
Vordingborg,Albertslund,124
Gribskov,Albertslund,123
Guldborgsund,Albertslund,121
Kalundborg,Albertslund,102
Stevns,Albertslund,94
Halsnæs,Albertslund,92
Odsherred,Albertslund,90
Aarhus,Albertslund,87
Allerød,Albertslund,87
Hørsholm,Albertslund,79
Odense,Albertslund,78
Dragør,Albertslund,48
Aalborg,Albertslund,33
Vejle,Albertslund,32
Horsens,Albertslund,24
Kolding,Albertslund,24
Skanderborg,Albertslund,23
Faaborg-Midtfyn,Albertslund,21
Silkeborg,Albertslund,20
Svendborg,Albertslund,20
Favrskov,Albertslund,19
Lolland,Albertslund,19
Middelfart,Albertslund,19
Nyborg,Albertslund,19
Randers,Albertslund,19
Fredericia,Albertslund,18
Assens,Albertslund,17
Esbjerg,Albertslund,15
Haderslev,Albertslund,15
Hedensted,Albertslund,14
Mariagerfjord,Albertslund,14
Skive,Albertslund,13
Bornholm,Albertslund,12
Herning,Albertslund,12
Odder,Albertslund,12
Viborg,Albertslund,12
Kerteminde,Albertslund,10
Syddjurs,Albertslund,10
Hjørring,Albertslund,8
Vejen,Albertslund,8
Frederikshavn,Albertslund,7
Nordfyns,Albertslund,7
Sønderborg,Albertslund,7
Rebild,Albertslund,6
Holstebro,Albertslund,5
Ikast-Brande,Albertslund,5
Varde,Albertslund,5
Norddjurs,Albertslund,4
Tønder,Albertslund,4
Aabenraa,Albertslund,3
Billund,Albertslund,3
Brønderslev,Albertslund,3
Ringkøbing-Skjern,Albertslund,3
Jammerbugt,Albertslund,2
Langeland,Albertslund,2
Lemvig,Albertslund,2
Vesthimmerlands,Albertslund,2
Morsø,Albertslund,1
Samsø,Albertslund,1
Struer,Albertslund,1
Ærø,Albertslund,1
Christiansø,Albertslund,0
Fanø,Albertslund,0
Læsø,Albertslund,0
Thisted,Albertslund,0
Allerød,Allerød,3549
København,Allerød,1670
Hillerød,Allerød,1243
Rudersdal,Allerød,635
Gribskov,Allerød,564
Furesø,Allerød,517
Frederikssund,Allerød,473
Egedal,Allerød,423
Fredensborg,Allerød,411
Halsnæs,Allerød,391
Helsingør,Allerød,369
Lyngby-Taarbæk,Allerød,315
Gladsaxe,Allerød,310
Frederiksberg,Allerød,295
Gentofte,Allerød,281
Hørsholm,Allerød,273
Ballerup,Allerød,267
Roskilde,Allerød,265
Hvidovre,Allerød,135
Høje-Taastrup,Allerød,122
Herlev,Allerød,109
Greve,Allerød,98
Rødovre,Allerød,98
Holbæk,Allerød,87
Brøndby,Allerød,68
Køge,Allerød,61
Albertslund,Allerød,60
Lejre,Allerød,56
Slagelse,Allerød,55
Tårnby,Allerød,52
Aarhus,Allerød,49
Næstved,Allerød,49
Vejle,Allerød,49
Glostrup,Allerød,44
Vallensbæk,Allerød,43
Ishøj,Allerød,42
Aalborg,Allerød,41
Odense,Allerød,41
Solrød,Allerød,41
Vordingborg,Allerød,37
Sorø,Allerød,35
Ringsted,Allerød,28
Dragør,Allerød,27
Faxe,Allerød,25
Kalundborg,Allerød,25
Silkeborg,Allerød,25
Kolding,Allerød,24
Horsens,Allerød,22
Guldborgsund,Allerød,21
Odsherred,Allerød,19
Lolland,Allerød,17
Sønderborg,Allerød,17
Viborg,Allerød,16
Frederikshavn,Allerød,15
Hjørring,Allerød,15
Randers,Allerød,13
Skanderborg,Allerød,13
Stevns,Allerød,13
Esbjerg,Allerød,12
